Isotope,Energy (keV),XS (mb),Info
00C,4946.5,2.6248,"(n,g)00C"
00C,3684.0,1.2351999999999999,"(n,g)00C"
00C,1262.5,1.2351999999999999,"(n,g)00C"
10B,4445.0,309.99999999999994,"(n,g)10B"
10B,7011.0,259.99999999999994,"(n,g)10B"
10B,4713.0,124.99999999999999,"(n,g)10B"
10B,8920.0,74.99999999999999,"(n,g)10B"
10B,6743.0,74.99999999999999,"(n,g)10B"
10B,2536.0,74.99999999999999,"(n,g)10B"
10B,2298.0,49.99999999999999,"(n,g)10B"
10B,11456.0,29.999999999999996,"(n,g)10B"
10B,5021.0,4.999999999999999,"(n,g)10B"
10B,9331.3,4.999999999999999,"(n,g)10B"
10B,2124.7,4.999999999999999,"(n,g)10B"
10B,6435.0,4.999999999999999,"(n,g)10B"
11B,3369.87,3.1569999999999996,"(n,g)11B"
11B,953.14,2.2824999999999998,"(n,g)11B"
11B,2416.73,2.2824999999999998,"(n,g)11B"
11B,646.87,0.06049999999999999,"(n,g)11B"
11B,2723.0,0.06049999999999999,"(n,g)11B"
123Xe,354.14,59901.99233609599,"(n,g)123Xe"
123Xe,492.47,14846.602634303996,"(n,g)123Xe"
123Xe,524.89,5719.238849807998,"(n,g)123Xe"
123Xe,846.61,4859.118807561598,"(n,g)123Xe"
123Xe,893.9,3531.3624318367993,"(n,g)123Xe"
123Xe,914.81,3034.963070953599,"(n,g)123Xe"
123Xe,1628.69,2316.7832860351996,"(n,g)123Xe"
123Xe,401.43,2302.051210588799,"(n,g)123Xe"
123Xe,1335.88,1512.2861806975995,"(n,g)123Xe"
123Xe,1274.55,1181.2586009855997,"(n,g)123Xe"
123Xe,591.44,1091.3540622303997,"(n,g)123Xe"
123Xe,782.08,514.6416508403198,"(n,g)123Xe"
123Xe,749.66,503.64628112031994,"(n,g)123Xe"
123Xe,559.02,470.1420822553599,"(n,g)123Xe"
123Xe,422.34,336.1129954540799,"(n,g)123Xe"
123Xe,359.74,327.71935632607995,"(n,g)123Xe"
123Xe,369.01,290.14024905759993,"(n,g)123Xe"
123Xe,843.41,238.18711257375995,"(n,g)123Xe"
123Xe,589.29,117.78036537375998,"(n,g)123Xe"
123Xe,669.75,61.544101429247995,"(n,g)123Xe"
123Xe,958.3,46.75933212166399,"(n,g)123Xe"
123Xe,399.28,32.54479640009599,"(n,g)123Xe"
124Xe,111.78,56881.90354247143,"(n,g)124Xe"
124Xe,335.35,15200.146329911955,"(n,g)124Xe"
124Xe,471.11,14964.262343866782,"(n,g)124Xe"
124Xe,526.38,8029.394899079637,"(n,g)124Xe"
124Xe,12.99,7287.445208386262,"(n,g)124Xe"
124Xe,359.33,5367.152963027268,"(n,g)124Xe"
124Xe,385.2,4524.346735201613,"(n,g)124Xe"
124Xe,184.08,3403.3309584425433,"(n,g)124Xe"
124Xe,135.76,2894.1891437167087,"(n,g)124Xe"
124Xe,43.26,2693.623977800116,"(n,g)124Xe"
124Xe,371.92,1779.006747056936,"(n,g)124Xe"
124Xe,223.57,1021.2345971739541,"(n,g)124Xe"
124Xe,161.63,705.7221771565995,"(n,g)124Xe"
124Xe,414.6,652.9405477181605,"(n,g)124Xe"
124Xe,231.39,608.7240810307358,"(n,g)124Xe"
124Xe,496.98,485.7286316470541,"(n,g)124Xe"
124Xe,201.12,380.0842735878366,"(n,g)124Xe"
124Xe,148.35,359.9889925126304,"(n,g)124Xe"
124Xe,57.94,109.52580982414702,"(n,g)124Xe"
124Xe,187.84,22.282780806444823,"(n,g)124Xe"
14N,5269.2,22.409998583128104,"(n,g)14N"
14N,5297.8,15.937498992351816,"(n,g)14N"
14N,5533.4,14.692499071066921,"(n,g)14N"
14N,1884.8,14.084999109476096,"(n,g)14N"
14N,6322.4,13.679999135082216,"(n,g)14N"
14N,4508.7,12.539999207158697,"(n,g)14N"
14N,3677.7,10.897499311005737,"(n,g)14N"
14N,10829.1,10.747502644983546,"(n,g)14N"
14N,5562.1,8.01749949309369,"(n,g)14N"
14N,7299.0,7.046249554500955,"(n,g)14N"
14N,3532.0,6.71024957574455,"(n,g)14N"
14N,1678.3,5.971499622452007,"(n,g)14N"
14N,2520.4,4.186499735308604,"(n,g)14N"
14N,8310.2,3.0937498043977056,"(n,g)14N"
14N,1999.7,3.0839998050141486,"(n,g)14N"
14N,2830.8,1.280249919056214,"(n,g)14N"
14N,1681.2,1.2337499219961758,"(n,g)14N"
