Isotope,Energy (keV),XS (mb),Info
00C,4439.0,210.2906976744186,"(n,n')00C"
101Ru,306.85,22.33150567768471,"(n,n')101Ru"
101Ru,720.0,6.5906672111999995,"(n,n')101Ru"
101Ru,174.92,1.0111064376,"(n,n')101Ru"
101Ru,545.08,0.7748039120483639,"(n,n')101Ru"
101Ru,413.15,0.5307469008000001,"(n,n')101Ru"
101Ru,127.23,0.4483939115976594,"(n,n')101Ru"
101Ru,408.67,0.26537345040000004,"(n,n')101Ru"
101Ru,184.1,0.25777993993090265,"(n,n')101Ru"
101Ru,238.23,0.19880768612465197,"(n,n')101Ru"
101Ru,179.62,0.18690250824120494,"(n,n')101Ru"
101Ru,311.33,0.041963210971016726,"(n,n')101Ru"
101Ru,233.75,0.03417955132763599,"(n,n')101Ru"
101Ru,417.85,0.0034377618878399996,"(n,n')101Ru"
101Ru,220.65,0.00012406046,"(n,n')101Ru"
101Ru,684.0,0.0001046891,"(n,n')101Ru"
101Ru,344.0,0.00010464354,"(n,n')101Ru"
101Ru,598.3,7.769452585599998e-05,"(n,n')101Ru"
101Ru,535.0,7.686614e-05,"(n,n')101Ru"
101Ru,623.0,7.658824000000001e-05,"(n,n')101Ru"
101Ru,823.0,7.595284000000001e-05,"(n,n')101Ru"
101Ru,908.0,7.460954e-05,"(n,n')101Ru"
101Ru,531.45,6.403391168399998e-05,"(n,n')101Ru"
101Ru,489.07,5.895851728e-05,"(n,n')101Ru"
101Ru,715.55,4.2810481936e-05,"(n,n')101Ru"
101Ru,718.0,3.9556819999999995e-05,"(n,n')101Ru"
101Ru,197.57,3.865083398537601e-05,"(n,n')101Ru"
101Ru,295.07,3.7682403519999996e-05,"(n,n')101Ru"
101Ru,422.3,2.9844772459999995e-05,"(n,n')101Ru"
101Ru,623.5,2.3570533454e-05,"(n,n')101Ru"
101Ru,286.97,1.7974878983999997e-05,"(n,n')101Ru"
101Ru,616.3,1.7650782720000002e-05,"(n,n')101Ru"
101Ru,496.27,1.6769246546e-05,"(n,n')101Ru"
101Ru,842.78,1.4363086379999997e-05,"(n,n')101Ru"
101Ru,291.45,7.81291516e-06,"(n,n')101Ru"
101Ru,324.8,6.3434808360000015e-06,"(n,n')101Ru"
101Ru,97.5,4.94195456e-06,"(n,n')101Ru"
101Ru,110.97,2.7412404199999998e-06,"(n,n')101Ru"
101Ru,115.45,2.0076690399999998e-06,"(n,n')101Ru"
102Pd,556.53,120.46777809066317,"(n,n')102Pd"
102Pd,1555.25,31.23640676455107,"(n,n')102Pd"
102Pd,1534.57,4.562616275699745,"(n,n')102Pd"
102Pd,978.04,4.425741511133364,"(n,n')102Pd"
102Pd,719.51,3.872488832442351,"(n,n')102Pd"
102Pd,1593.01,1.9342038,"(n,n')102Pd"
102Pd,384.43,0.3979755180830697,"(n,n')102Pd"
102Pd,438.96,0.38875182112481405,"(n,n')102Pd"
102Pd,1692.17,0.37992543999999995,"(n,n')102Pd"
102Pd,835.48,0.35462822453717396,"(n,n')102Pd"
102Pd,1581.57,0.33724708322058056,"(n,n')102Pd"
102Pd,1387.85,0.30389881202237456,"(n,n')102Pd"
102Pd,1834.67,0.24089044,"(n,n')102Pd"
102Pd,1786.48,0.2374811,"(n,n')102Pd"
102Pd,1875.07,0.1824100332930492,"(n,n')102Pd"
102Pd,1101.67,0.15817105999999997,"(n,n')102Pd"
102Pd,1744.83,0.11401483162167685,"(n,n')102Pd"
102Pd,1018.63,0.09566564764097184,"(n,n')102Pd"
102Pd,1944.38,0.0698967843691651,"(n,n')102Pd"
102Pd,336.37,0.05943302987514095,"(n,n')102Pd"
102Pd,182.89,0.059312764551066266,"(n,n')102Pd"
102Pd,603.53,0.05598298522558949,"(n,n')102Pd"
102Pd,897.03,0.05107483884914982,"(n,n')102Pd"
102Pd,179.8,0.041008827711094285,"(n,n')102Pd"
102Pd,1923.77,0.034666156000000004,"(n,n')102Pd"
102Pd,1025.32,0.027477531209748458,"(n,n')102Pd"
102Pd,1198.43,0.023832628591400874,"(n,n')102Pd"
102Pd,156.57,0.020089773235403244,"(n,n')102Pd"
102Pd,173.11,0.01604688848240752,"(n,n')102Pd"
103Rh,357.41,47.813379868141226,"(n,n')103Rh"
103Rh,294.98,38.10846006980356,"(n,n')103Rh"
103Rh,62.43,5.121914015958179,"(n,n')103Rh"
103Rh,490.17,1.687677216161249,"(n,n')103Rh"
103Rh,552.6,0.337130481692679,"(n,n')103Rh"
103Rh,39.76,0.03388917032253959,"(n,n')103Rh"
103Rh,317.65,0.03177986422874999,"(n,n')103Rh"
103Rh,53.28,0.0008367357001324079,"(n,n')103Rh"
103Rh,564.68,0.000318717428752752,"(n,n')103Rh"
103Rh,497.08,0.00031367876291936566,"(n,n')103Rh"
103Rh,610.33,0.00023431322520801922,"(n,n')103Rh"
103Rh,612.04,0.00014550886383615997,"(n,n')103Rh"
103Rh,728.42,0.000129336993757248,"(n,n')103Rh"
103Rh,1071.69,0.0001264438,"(n,n')103Rh"
103Rh,1287.14,0.00011836219999999999,"(n,n')103Rh"
103Rh,562.69,0.000109192626072,"(n,n')103Rh"
103Rh,514.41,0.0001077660425910558,"(n,n')103Rh"
103Rh,1440.24,0.00010227582000000001,"(n,n')103Rh"
103Rh,691.78,0.00010124382,"(n,n')103Rh"
103Rh,1196.24,8.9079268752e-05,"(n,n')103Rh"
103Rh,993.77,8.5227453234e-05,"(n,n')103Rh"
103Rh,603.91,8.45934632e-05,"(n,n')103Rh"
103Rh,808.06,8.169627748999998e-05,"(n,n')103Rh"
103Rh,840.92,7.295544764e-05,"(n,n')103Rh"
103Rh,427.66,7.2194712768e-05,"(n,n')103Rh"
103Rh,998.47,7.064894676e-05,"(n,n')103Rh"
103Rh,1398.37,6.8451862856e-05,"(n,n')103Rh"
103Rh,687.46,6.5607334164e-05,"(n,n')103Rh"
103Rh,1124.57,6.3864256708e-05,"(n,n')103Rh"
103Rh,1277.04,6.0557237729999995e-05,"(n,n')103Rh"
103Rh,740.74,6.0342625836e-05,"(n,n')103Rh"
103Rh,1045.89,6.0148008691999995e-05,"(n,n')103Rh"
103Rh,703.19,5.817012864e-05,"(n,n')103Rh"
103Rh,1108.32,5.7835531308e-05,"(n,n')103Rh"
103Rh,749.29,5.6015730668000006e-05,"(n,n')103Rh"
103Rh,1212.0,5.4841105800000006e-05,"(n,n')103Rh"
103Rh,523.06,5.45320908e-05,"(n,n')103Rh"
103Rh,601.67,5.2690474200000005e-05,"(n,n')103Rh"
103Rh,803.07,4.895920352437401e-05,"(n,n')103Rh"
103Rh,585.49,4.46696723e-05,"(n,n')103Rh"
103Rh,1158.59,4.151035999999999e-05,"(n,n')103Rh"
103Rh,687.18,4.087878251e-05,"(n,n')103Rh"
103Rh,788.04,3.8353977143999995e-05,"(n,n')103Rh"
103Rh,1410.89,3.8012267762e-05,"(n,n')103Rh"
103Rh,1147.92,3.7945796032000004e-05,"(n,n')103Rh"
103Rh,567.69,3.5520811006944204e-05,"(n,n')103Rh"
103Rh,1109.29,3.437656689600001e-05,"(n,n')103Rh"
103Rh,557.05,3.4007139730168e-05,"(n,n')103Rh"
103Rh,163.74,3.3720234882752004e-05,"(n,n')103Rh"
103Rh,811.72,3.248307037e-05,"(n,n')103Rh"
103Rh,1133.81,2.8470571247999997e-05,"(n,n')103Rh"
103Rh,984.71,2.7258407952000003e-05,"(n,n')103Rh"
103Rh,1293.45,2.6831568078000003e-05,"(n,n')103Rh"
103Rh,1437.57,2.3010071744e-05,"(n,n')103Rh"
103Rh,866.93,2.208667136e-05,"(n,n')103Rh"
103Rh,1115.91,2.2050163341999998e-05,"(n,n')103Rh"
103Rh,72.52,2.0197853927999997e-05,"(n,n')103Rh"
103Rh,540.91,2.0153759280000003e-05,"(n,n')103Rh"
103Rh,1053.48,2.0149148896e-05,"(n,n')103Rh"
103Rh,678.91,2.0043512524000004e-05,"(n,n')103Rh"
103Rh,499.25,1.9597938962000002e-05,"(n,n')103Rh"
103Rh,874.53,1.7924374636e-05,"(n,n')103Rh"
103Rh,114.96,1.7893923061759996e-05,"(n,n')103Rh"
103Rh,508.09,1.7684190478453203e-05,"(n,n')103Rh"
103Rh,1490.85,1.3637855022e-05,"(n,n')103Rh"
103Rh,1187.0,1.1529119224e-05,"(n,n')103Rh"
103Rh,960.73,1.0120266756e-05,"(n,n')103Rh"
103Rh,936.04,9.888705161999999e-06,"(n,n')103Rh"
103Rh,880.47,9.7752369e-06,"(n,n')103Rh"
103Rh,982.06,9.089629296e-06,"(n,n')103Rh"
103Rh,1481.98,8.943266444000002e-06,"(n,n')103Rh"
103Rh,1255.71,8.449030044e-06,"(n,n')103Rh"
103Rh,1135.9,8.01619236e-06,"(n,n')103Rh"
103Rh,1171.72,7.206313104000001e-06,"(n,n')103Rh"
103Rh,1085.49,5.6901239680000005e-06,"(n,n')103Rh"
103Rh,473.97,5.47956376e-06,"(n,n')103Rh"
103Rh,919.63,5.4553892139999995e-06,"(n,n')103Rh"
103Rh,945.14,3.834630464e-06,"(n,n')103Rh"
103Rh,445.66,2.192786928e-06,"(n,n')103Rh"
104Pd,555.81,138.89018332816812,"(n,n')104Pd"
104Pd,332.64,27.4854945686199,"(n,n')104Pd"
104Pd,1237.05,26.260043905212306,"(n,n')104Pd"
104Pd,785.87,7.335396088327935,"(n,n')104Pd"
104Pd,1341.68,6.308449834433721,"(n,n')104Pd"
104Pd,767.78,4.29876267012723,"(n,n')104Pd"
104Pd,451.18,2.46843717053525,"(n,n')104Pd"
104Pd,777.78,2.4665126488006255,"(n,n')104Pd"
104Pd,1264.84,0.6120375074114645,"(n,n')104Pd"
104Pd,1999.1,0.6094485329183568,"(n,n')104Pd"
104Pd,1443.29,0.22934783855810137,"(n,n')104Pd"
104Pd,758.79,0.20123100802224192,"(n,n')104Pd"
104Pd,1782.09,0.1946891594813275,"(n,n')104Pd"
104Pd,740.7,0.19116958968001768,"(n,n')104Pd"
104Pd,1526.57,0.17104608126191745,"(n,n')104Pd"
104Pd,1581.19,0.1547490912137679,"(n,n')104Pd"
104Pd,857.97,0.15297784911886061,"(n,n')104Pd"
104Pd,1637.59,0.1491261,"(n,n')104Pd"
104Pd,478.97,0.14688863205775093,"(n,n')104Pd"
