Isotope,Energy (keV),XS (mb),Info
101Ru,127.23,106.2277067862334,"(n,n')101Ru"
101Ru,306.85,104.37729476160176,"(n,n')101Ru"
101Ru,184.1,39.17831002351115,"(n,n')101Ru"
101Ru,720.0,32.29248736800001,"(n,n')101Ru"
101Ru,545.08,24.0735428732568,"(n,n')101Ru"
101Ru,684.0,23.311790000000002,"(n,n')101Ru"
101Ru,344.0,20.51439,"(n,n')101Ru"
101Ru,535.0,18.24718,"(n,n')101Ru"
101Ru,623.0,17.54879,"(n,n')101Ru"
101Ru,823.0,15.963080000000001,"(n,n')101Ru"
101Ru,598.3,13.754040344,"(n,n')101Ru"
101Ru,489.07,13.546706991999999,"(n,n')101Ru"
101Ru,220.65,12.772260000000001,"(n,n')101Ru"
101Ru,531.45,12.292177986,"(n,n')101Ru"
101Ru,908.0,11.658330000000001,"(n,n')101Ru"
101Ru,197.57,9.819493959224001,"(n,n')101Ru"
101Ru,295.07,9.33786048,"(n,n')101Ru"
101Ru,715.55,8.218052744000001,"(n,n')101Ru"
101Ru,422.3,7.3956620399999995,"(n,n')101Ru"
101Ru,718.0,6.660962,"(n,n')101Ru"
101Ru,311.33,6.377864422432049,"(n,n')101Ru"
101Ru,238.23,6.177053679042399,"(n,n')101Ru"
101Ru,623.5,5.303164645700001,"(n,n')101Ru"
101Ru,174.92,4.954148163999999,"(n,n')101Ru"
101Ru,616.3,4.055563008,"(n,n')101Ru"
101Ru,496.27,3.7729343543000002,"(n,n')101Ru"
101Ru,286.97,3.182041566,"(n,n')101Ru"
101Ru,842.78,2.75718927,"(n,n')101Ru"
101Ru,413.15,2.6005163120000003,"(n,n')101Ru"
101Ru,324.8,1.8067124807760002,"(n,n')101Ru"
101Ru,291.45,1.38309809,"(n,n')101Ru"
101Ru,408.67,1.3002581560000002,"(n,n')101Ru"
101Ru,97.5,1.22463744,"(n,n')101Ru"
101Ru,233.75,1.0619756579431998,"(n,n')101Ru"
101Ru,179.62,0.873582279440652,"(n,n')101Ru"
101Ru,110.97,0.6792910799999999,"(n,n')101Ru"
101Ru,115.45,0.49750896,"(n,n')101Ru"
101Ru,417.85,0.1068259537576,"(n,n')101Ru"
102Pd,556.53,1330.2795576726367,"(n,n')102Pd"
102Pd,719.51,168.65246207307206,"(n,n')102Pd"
102Pd,1534.57,138.21001548122123,"(n,n')102Pd"
102Pd,978.04,134.06382727860418,"(n,n')102Pd"
102Pd,1387.85,127.70755819989319,"(n,n')102Pd"
102Pd,1555.25,111.38151689091643,"(n,n')102Pd"
102Pd,1593.01,100.34926934313727,"(n,n')102Pd"
102Pd,1101.67,87.61166940784312,"(n,n')102Pd"
102Pd,1692.17,66.96861345784315,"(n,n')102Pd"
102Pd,1581.57,35.67871835759127,"(n,n')102Pd"
102Pd,1944.38,29.372762592942728,"(n,n')102Pd"
102Pd,1786.48,24.930279339215687,"(n,n')102Pd"
102Pd,1744.83,13.51728887408735,"(n,n')102Pd"
102Pd,1834.67,13.41342343235294,"(n,n')102Pd"
102Pd,1018.63,12.383157659343029,"(n,n')102Pd"
102Pd,182.89,7.6775670193478165,"(n,n')102Pd"
102Pd,603.53,5.922664304962276,"(n,n')102Pd"
102Pd,1025.32,3.257661458235306,"(n,n')102Pd"
102Pd,156.57,2.600461608813411,"(n,n')102Pd"
102Pd,438.96,2.4896434424081795,"(n,n')102Pd"
102Pd,835.48,1.4662030817130107,"(n,n')102Pd"
102Pd,384.43,1.3293518373063633,"(n,n')102Pd"
103Rh,39.76,404.1691897767256,"(n,n')103Rh"
103Rh,294.98,273.54902014141743,"(n,n')103Rh"
103Rh,357.41,258.7228399573404,"(n,n')103Rh"
103Rh,53.28,93.49491777094352,"(n,n')103Rh"
103Rh,497.08,66.49746204215853,"(n,n')103Rh"
103Rh,610.33,64.70036843150879,"(n,n')103Rh"
