Isotope,Energy (keV),XS (mb),Info
11B,980.8,11.70458658889022,"(n,a)11B"
123Xe,560.44,60.387692655500004,"(n,a)123Xe"
123Xe,601.12,40.272444176399986,"(n,a)123Xe"
123Xe,614.67,19.39822390105,"(n,a)123Xe"
123Xe,640.83,4.891958845595,"(n,a)123Xe"
123Xe,653.56,1.6533487190549998,"(n,a)123Xe"
123Xe,613.85,1.44036656163,"(n,a)123Xe"
123Xe,1201.27,1.31280865426,"(n,a)123Xe"
123Xe,542.66,1.2187069137150004,"(n,a)123Xe"
123Xe,662.02,1.0459329311999999,"(n,a)123Xe"
123Xe,1535.08,1.017750237475,"(n,a)123Xe"
123Xe,974.64,0.9381046503799999,"(n,a)123Xe"
123Xe,1302.85,0.9151270581950001,"(n,a)123Xe"
123Xe,1363.96,0.67112573691,"(n,a)123Xe"
123Xe,1052.96,0.6421959256244999,"(n,a)123Xe"
123Xe,1254.68,0.5258888116805001,"(n,a)123Xe"
123Xe,762.84,0.39744720189750005,"(n,a)123Xe"
123Xe,701.73,0.365775691056,"(n,a)123Xe"
123Xe,431.98,0.20838638576,"(n,a)123Xe"
123Xe,333.81,0.0535986056606,"(n,a)123Xe"
124Xe,144.55,2.8571154246,"(n,a)124Xe"
124Xe,212.19,2.6917848872999994,"(n,a)124Xe"
124Xe,230.87,1.4057857959000002,"(n,a)124Xe"
124Xe,221.46,1.2467918379,"(n,a)124Xe"
124Xe,244.71,1.16105228994,"(n,a)124Xe"
124Xe,475.24,0.9367771518,"(n,a)124Xe"
124Xe,532.05,0.24980359301999996,"(n,a)124Xe"
124Xe,56.81,0.20680321643999997,"(n,a)124Xe"
124Xe,382.3,0.20392095824999998,"(n,a)124Xe"
124Xe,614.0,0.16928514872999997,"(n,a)124Xe"
124Xe,138.76,0.16928514872999997,"(n,a)124Xe"
124Xe,594.49,0.14493664716,"(n,a)124Xe"
124Xe,263.05,0.06935682841199999,"(n,a)124Xe"
124Xe,319.86,0.040305021299999994,"(n,a)124Xe"
